--------------------------------------------------------------------------------
			Marvellous Infosystems Process Log
			Log File is Created at : Sun Jun 15 20:16:53 2025
--------------------------------------------------------------------------------{'username': 'root', 'name': 'loginwindow', 'pid': 387, 'vms': 402582.125} 

{'username': 'parasshivprasadkulkarni', 'name': 'distnoted', 'pid': 554, 'vms': 416911.328125} 

{'username': 'parasshivprasadkulkarni', 'name': 'cfprefsd', 'pid': 555, 'vms': 416912.421875} 

{'username': 'parasshivprasadkulkarni', 'name': 'UserEventAgent', 'pid': 562, 'vms': 416946.125} 

{'username': 'parasshivprasadkulkarni', 'name': 'WindowManager', 'pid': 567, 'vms': 402136.21875} 

{'username': 'parasshivprasadkulkarni', 'name': 'CoreServicesUIAgent', 'pid': 568, 'vms': 402155.234375} 

{'username': 'parasshivprasadkulkarni', 'name': 'universalaccessd', 'pid': 569, 'vms': 401342.140625} 

{'username': 'parasshivprasadkulkarni', 'name': 'knowledge-agent', 'pid': 570, 'vms': 416962.671875} 

{'username': 'parasshivprasadkulkarni', 'name': 'pboard', 'pid': 571, 'vms': 416920.890625} 

{'username': 'parasshivprasadkulkarni', 'name': 'Dock', 'pid': 572, 'vms': 402074.046875} 

{'username': 'parasshivprasadkulkarni', 'name': 'talagentd', 'pid': 573, 'vms': 416960.703125} 

{'username': 'parasshivprasadkulkarni', 'name': 'ControlCenter', 'pid': 574, 'vms': 402449.71875} 

{'username': 'parasshivprasadkulkarni', 'name': 'SystemUIServer', 'pid': 575, 'vms': 401745.734375} 

{'username': 'parasshivprasadkulkarni', 'name': 'Finder', 'pid': 576, 'vms': 402863.171875} 

{'username': 'parasshivprasadkulkarni', 'name': 'lsd', 'pid': 578, 'vms': 416954.046875} 

{'username': 'parasshivprasadkulkarni', 'name': 'secd', 'pid': 582, 'vms': 416962.640625} 

{'username': 'parasshivprasadkulkarni', 'name': 'nsurlsessiond', 'pid': 585, 'vms': 417035.46875} 

{'username': 'parasshivprasadkulkarni', 'name': 'rapportd', 'pid': 587, 'vms': 416952.171875} 

{'username': 'parasshivprasadkulkarni', 'name': 'QuickLookUIService', 'pid': 588, 'vms': 416896.96875} 

{'username': 'parasshivprasadkulkarni', 'name': 'routined', 'pid': 590, 'vms': 416963.734375} 

{'username': 'parasshivprasadkulkarni', 'name': 'usernoted', 'pid': 591, 'vms': 416962.0625} 

{'username': 'parasshivprasadkulkarni', 'name': 'secinitd', 'pid': 592, 'vms': 416953.421875} 

{'username': 'parasshivprasadkulkarni', 'name': 'lockoutagent', 'pid': 593, 'vms': 416944.515625} 

