--------------------------------------------------------------------------------
			Marvellous Infosystems Process Log
			Log File is Created at : Sun Jun 15 20:58:49 2025
--------------------------------------------------------------------------------
{'pid': 387, 'username': 'root', 'name': 'loginwindow', 'vms': 402584.859375} 

{'pid': 554, 'username': 'parasshivprasadkulkarni', 'name': 'distnoted', 'vms': 416911.328125} 

{'pid': 555, 'username': 'parasshivprasadkulkarni', 'name': 'cfprefsd', 'vms': 416912.421875} 

{'pid': 562, 'username': 'parasshivprasadkulkarni', 'name': 'UserEventAgent', 'vms': 416946.125} 

{'pid': 567, 'username': 'parasshivprasadkulkarni', 'name': 'WindowManager', 'vms': 402135.015625} 

{'pid': 568, 'username': 'parasshivprasadkulkarni', 'name': 'CoreServicesUIAgent', 'vms': 402155.234375} 

{'pid': 569, 'username': 'parasshivprasadkulkarni', 'name': 'universalaccessd', 'vms': 401341.59375} 

{'pid': 570, 'username': 'parasshivprasadkulkarni', 'name': 'knowledge-agent', 'vms': 416962.671875} 

{'pid': 571, 'username': 'parasshivprasadkulkarni', 'name': 'pboard', 'vms': 416920.34375} 

{'pid': 572, 'username': 'parasshivprasadkulkarni', 'name': 'Dock', 'vms': 402078.8125} 

{'pid': 573, 'username': 'parasshivprasadkulkarni', 'name': 'talagentd', 'vms': 416960.703125} 

{'pid': 574, 'username': 'parasshivprasadkulkarni', 'name': 'ControlCenter', 'vms': 402449.71875} 

{'pid': 575, 'username': 'parasshivprasadkulkarni', 'name': 'SystemUIServer', 'vms': 401745.734375} 

{'pid': 576, 'username': 'parasshivprasadkulkarni', 'name': 'Finder', 'vms': 402862.5625} 

{'pid': 578, 'username': 'parasshivprasadkulkarni', 'name': 'lsd', 'vms': 416954.046875} 

{'pid': 582, 'username': 'parasshivprasadkulkarni', 'name': 'secd', 'vms': 416967.265625} 

{'pid': 585, 'username': 'parasshivprasadkulkarni', 'name': 'nsurlsessiond', 'vms': 416959.5} 

{'pid': 587, 'username': 'parasshivprasadkulkarni', 'name': 'rapportd', 'vms': 416952.171875} 

{'pid': 588, 'username': 'parasshivprasadkulkarni', 'name': 'QuickLookUIService', 'vms': 416896.96875} 

{'pid': 590, 'username': 'parasshivprasadkulkarni', 'name': 'routined', 'vms': 416963.734375} 

{'pid': 591, 'username': 'parasshivprasadkulkarni', 'name': 'usernoted', 'vms': 416962.09375} 

{'pid': 592, 'username': 'parasshivprasadkulkarni', 'name': 'secinitd', 'vms': 416953.421875} 

{'pid': 593, 'username': 'parasshivprasadkulkarni', 'name': 'lockoutagent', 'vms': 416943.96875} 

{'pid': 594, 'username': 'parasshivprasadkulkarni', 'name': 'ContextStoreAgent', 'vms': 416962.84375} 

{'pid': 595, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.quicklook.ThumbnailsAgent', 'vms': 417471.828125} 

{'pid': 596, 'username': 'parasshivprasadkulkarni', 'name': 'bird', 'vms': 416965.875} 

{'pid': 597, 'username': 'parasshivprasadkulkarni', 'name': 'trustd', 'vms': 416949.171875} 

{'pid': 598, 'username': 'parasshivprasadkulkarni', 'name': 'CoreLocationAgent', 'vms': 417108.703125} 

{'pid': 599, 'username': 'parasshivprasadkulkarni', 'name': 'WallpaperAgent', 'vms': 401757.171875} 

{'pid': 604, 'username': 'parasshivprasadkulkarni', 'name': 'sharedfilelistd', 'vms': 416945.59375} 

{'pid': 605, 'username': 'parasshivprasadkulkarni', 'name': 'containermanagerd', 'vms': 416942.6875} 

{'pid': 606, 'username': 'parasshivprasadkulkarni', 'name': 'com.apple.hiservices-xpcservice', 'vms': 416910.953125} 

{'pid': 608, 'username': 'parasshivprasadkulkarni', 'name': 'usernotificationsd', 'vms': 416953.5} 

{'pid': 610, 'username': 'parasshivprasadkulkarni', 'name': 'assistantd', 'vms': 416997.3125} 

{'pid': 612, 'username': 'parasshivprasadkulkarni', 'name': 'suggestd', 'vms': 417129.078125} 

{'pid': 613, 'username': 'parasshivprasadkulkarni', 'name': 'tccd', 'vms': 416953.671875} 

{'pid': 614, 'username': 'parasshivprasadkulkarni', 'name': 'callservicesd', 'vms': 416969.78125} 

{'pid': 615, 'username': 'parasshivprasadkulkarni', 'name': 'calaccessd', 'vms': 416960.953125} 

{'pid': 616, 'username': 'parasshivprasadkulkarni', 'name': 'networkserviceproxy', 'vms': 416965.125} 

{'pid': 617, 'username': 'parasshivprasadkulkarni', 'name': 'fileproviderd', 'vms': 416974.546875} 

{'pid': 618, 'username': 'parasshivprasadkulkarni', 'name': 'pkd', 'vms': 416952.546875} 

{'pid': 619, 'username': 'parasshivprasadkulkarni', 'name': 'AMPDeviceDiscoveryAgent', 'vms': 416955.125} 

{'pid': 620, 'username': 'parasshivprasadkulkarni', 'name': 'iconservicesagent', 'vms': 417117.140625} 

{'pid': 621, 'username': 'parasshivprasadkulkarni', 'name': 'chronod', 'vms': 416963.765625} 

{'pid': 622, 'username': 'parasshivprasadkulkarni', 'name': 'accountsd', 'vms': 417000.59375} 

{'pid': 623, 'username': 'parasshivprasadkulkarni', 'name': 'ViewBridgeAuxiliary', 'vms': 400876.859375} 

{'pid': 624, 'username': 'parasshivprasadkulkarni', 'name': 'identityservicesd', 'vms': 416972.625} 

{'pid': 628, 'username': 'parasshivprasadkulkarni', 'name': 'ContinuityCaptureAgent', 'vms': 416944.546875} 

{'pid': 629, 'username': 'parasshivprasadkulkarni', 'name': 'intelligentroutingd', 'vms': 416948.21875} 

{'pid': 630, 'username': 'parasshivprasadkulkarni', 'name': 'donotdisturbd', 'vms': 416960.328125} 

{'pid': 631, 'username': 'parasshivprasadkulkarni', 'name': 'audioaccessoryd', 'vms': 416947.046875} 

{'pid': 632, 'username': 'parasshivprasadkulkarni', 'name': 'WallpaperImageExtension', 'vms': 401243.078125} 

{'pid': 634, 'username': 'parasshivprasadkulkarni', 'name': 'triald', 'vms': 416946.84375} 

{'pid': 639, 'username': 'parasshivprasadkulkarni', 'name': 'fontd', 'vms': 416944.34375} 

{'pid': 642, 'username': 'parasshivprasadkulkarni', 'name': 'corespotlightd', 'vms': 422204.390625} 

{'pid': 644, 'username': 'parasshivprasadkulkarni', 'name': 'fontworker', 'vms': 416966.40625} 

{'pid': 645, 'username': 'parasshivprasadkulkarni', 'name': 'neagent', 'vms': 416952.25} 

{'pid': 646, 'username': 'parasshivprasadkulkarni', 'name': 'useractivityd', 'vms': 416912.109375} 

